"RecordID","CompanyName","CompanyOwner","CreateDate","PhoneNumber","City","CountryRegion","Industry","AnnualRevenue","CloseDate","FirstDealCreatedDate","LifecycleStage","PostalCode","RecentDealAmount","RecentDealCloseDate","StreetAddress","StreetAddress2","TimeZone","TotalMoneyRaised","Totalopendealvalue","AdditionalDomains"
"9366410105","Eayo","David Nachmann","2022-08-12 11:50","6192351143","Hoffman Estates","United States","","502000.0","2009-10-20 00:00","2003-04-21 00:00","Customer","60179","","","3333 Beverly Road","","America/Chicago","","4755.0",""
"9366740778","Jaloo","David Nachmann","2022-08-12 11:50","602-840-6700","Fort Collins","United States","","10000000","2022-08-12 12:18","2002-02-21 00:00","Customer","80525","","","8618 Briar Crest Avenue","Suite 800","America/Phoenix","","",""
"9366363956","Topiczoom","David Nachmann","2022-08-12 11:50","498982072329","Indianapolis","United States","","589000.0","2006-10-20 00:00","2005-09-20 00:00","Customer","46247","206.0","2006-10-20 00:00","68676 Westport Hill","","Europe/Berlin","","2004.0",""
"9366709664","Fatz","David Nachmann","2022-08-12 11:50","4789711090","Durham","United States","Restaurants","380000.0","","2022-08-12 12:23","Opportunity","27705","","","56 Stuart Court","","America/New_York","","",""
"9366697589","Mydeo","David Nachmann","2022-08-12 11:50","442085402300","Detroit","United States","Computer Software","667000.0","2011-09-21 00:00","2010-09-21 00:00","Opportunity","48295","","","452 Fair Oaks Pass","","Europe/London","","",""
"9366673827","Devcast","David Nachmann","2022-08-12 11:50","4086160050","Sunnyvale","United States","","369000.0","2005-10-21 00:00","2022-08-12 12:23","Customer","94085","1986.0","2005-10-21 00:00","333 W MAUDE AVE","STE 108","America/Los_Angeles","","",""
"9366673830","Blognation","David Nachmann","2022-08-12 11:50","2126851431","Seattle","United States","Computer Software","420000.0","2010-07-21 00:00","2009-04-21 00:00","Opportunity","10016","","","140 E 28th St, Apt 8c","","America/Los_Angeles","","",""
"9366372186","Latz","David Nachmann","2022-08-12 11:50"," +49 2421 93510","Sandy","United States","","","2022-08-12 12:18","2022-08-12 12:23","Customer","84093","","","33 Welch Lane","","Europe/Berlin","","",""
"9366709674","Wordware","David Nachmann","2022-08-12 11:50"," +1 913-239-2684","Burlington","United States","","399000.0","2003-03-21 00:00","2022-08-12 12:23","Opportunity","01803","","","5 Wall St","","America/New_York","398000","",""
"9366689850","Thoughtstorm","David Nachmann","2022-08-12 11:50"," +1 646-701-1080","Eugene","United States","Financial Services","973000.0","2008-03-21 00:00","2010-12-20 00:00","Customer","97405","","","9 Nova Court","","America/New_York","","",""
"9366363964","Skynoodle","David Nachmann","2022-08-12 11:50","(989) 3763017","Saginaw","United States","Semiconductors","385000.0","2022-08-12 12:23","2003-01-20 00:00","Customer","48604","","","61 Esch Center","","","","",""
"9366673818","Janyx","David Nachmann","2022-08-12 11:50","(973) 440-2610","Pompano Beach","United States","Computer Software","495000.0","2005-07-20 00:00","2004-04-20 00:00","Opportunity","33069","","","43439 Evergreen Avenue","","America/New_York","","",""
"9366410136","Midel","David Nachmann","2022-08-12 11:50","(972) 2213979","Dallas","United States","Security and Investigations","1000000.0","2007-03-21 00:00","2003-10-20 00:00","Customer","75221","214.0","2007-03-21 00:00","77415 New Castle Way","","America/New_York","","",""
"9366717837","Photofeed","David Nachmann","2022-08-12 11:50","(970) 7924129","Greeley","United States","Warehousing","415000.0","2003-06-20 00:00","2002-07-21 00:00","Customer","80638","1517.0","2003-06-20 00:00","74406 3rd Pass","","","","509.0",""
"9366375424","Bluejam","David Nachmann","2022-08-12 11:50","(970) 2328637","Nottingham","United Kingdom","Insurance","134000.0","","","","NG1 1LL","","","26-30 Stoney Street","","Europe/London","","",""
"9366697591","Bubblemix","David Nachmann","2022-08-12 11:50","(919) 7825228","Raleigh","United States","Consumer Electronics","","","2011-04-21 00:00","Opportunity","27635","","","5 Derek Court","","","","",""
"9366367583","Yabox","David Nachmann","2022-08-12 11:50","(918) 8520690","","United States","Machinery","804000.0","2008-10-20 00:00","2022-08-12 12:23","Customer","","465.0","2008-10-20 00:00","","","","","",""
"9366681765","Dynabox","David Nachmann","2022-08-12 11:50","(918) 7908462","","United States","Computer & Network Security","666000.0","2012-02-21 00:00","2002-08-20 00:00","Opportunity","","","","","","","","1596.0",""
"9366714678","Cogidoo","David Nachmann","2022-08-12 11:50","(916) 4047906","Sacramento","United States","Online Media","","","2006-05-20 00:00","Opportunity","94245","","","46251 Summer Ridge Trail","","","","4167.0",""
"9366372206","Livetube","David Nachmann","2022-08-12 11:50","(915) 7101621","","United States","Utilities","226000.0","2012-05-20 00:00","2001-05-21 00:00","Opportunity","","","","","","","","1723.0",""
"9366367587","Skyndu","David Nachmann","2022-08-12 11:50","(909) 9654554","","","Utilities","503000.0","2002-10-21 00:00","2022-08-12 12:23","Customer","","3562.0","2002-10-21 00:00","","","","203000","3228.0",""
"9366686508","Yambee","David Nachmann","2022-08-12 11:50","(904) 6768568","Jacksonville","United States","Consumer Electronics","10000000","2008-02-20 00:00","2001-05-21 00:00","Customer","32220","3336.0","2008-02-20 00:00","9598 Veith Way","","","","",""
"9366367580","Oba","David Nachmann","2022-08-12 11:50","(831) 3762692","Oklahoma City","United States","Computer Networking","102000.0","2001-07-22 00:00","2022-08-12 12:23","Customer","73105","1742.0","2001-07-22 00:00","643 Northeast 41st Street","","America/Chicago","","",""
"9366714675","Edgetag","David Nachmann","2022-08-12 11:50","(830) 3193865","San Antonio","United States","Online Media","","2012-08-20 00:00","2004-03-21 00:00","Customer","78255","1604.0","2012-08-20 00:00","9 Mockingbird Point","","","","",""
"9366401886","Browsecat","David Nachmann","2022-08-12 11:50","(817) 8303309","","","Warehousing","","2004-07-21 00:00","2006-02-20 00:00","Customer","","","","","","","","",""
"9366721590","Jabbersphere","David Nachmann","2022-08-12 11:50","(817) 2965963","Fort Worth","United States","Business Supplies and Equipment","","2009-04-20 00:00","2022-08-12 12:23","Opportunity","76129","","","72 Hazelcrest Point","","","","",""
"9366701835","Yadel","David Nachmann","2022-08-12 11:50","(816) 9285996","","","Entertainment","785000.0","2022-08-12 12:18","2022-08-12 12:23","Customer","","","","","","","","",""
"9366705582","Yozio","David Nachmann","2022-08-12 11:50","(815) 6335691","Rockford","United States","Telecommunications","106000.0","2022-08-12 12:23","2022-08-12 12:23","Customer","61105","","","0657 Grayhawk Pass","","America/Los_Angeles","7.0K","1464.0",""
"9366367603","Tazzy","David Nachmann","2022-08-12 11:50","(813) 8775509","Tampa","United States","Entertainment","504000.0","2009-10-21 00:00","2022-08-12 12:23","Customer","33633","576.0","2009-10-21 00:00","0201 Grasskamp Court","","","","",""
"9366375437","Babbleopia","David Nachmann","2022-08-12 11:50","(813) 3403702","","","Security and Investigations","845000.0","","","","","","","","","","","",""
"9366372204","Rhycero","David Nachmann","2022-08-12 11:50","(812) 6184330","","","Machinery","452000.0","2007-10-21 00:00","2022-08-12 12:23","Opportunity","","","","","","","","",""
"9366395162","Aibox","David Nachmann","2022-08-12 11:50","(808) 1950766","","","Biotechnology","","","2009-01-20 00:00","Opportunity","","","","","","","","",""
"9366697608","Centizu","David Nachmann","2022-08-12 11:50","(804) 6122902","","","Mechanical or Industrial Engineering","","","2022-08-12 12:23","Opportunity","","","","","","","","",""
"9366398367","Blogtag","David Nachmann","2022-08-12 11:50","(804) 1517920","","","Utilities","103000.0","2022-08-12 12:18","2022-08-12 12:23","Customer","","","","","","","120000","",""
"9366367582","Kazu","David Nachmann","2022-08-12 11:50","(803) 5235936","Aiken","United States","Computer Networking","519000.0","2011-01-20 00:00","2008-05-21 00:00","Opportunity","29805","","","64626 Leroy Parkway","BLDG 201","America/Los_Angeles","","",""
"9366697590","Eare","David Nachmann","2022-08-12 11:50","(786) 9953014","","Australia","Insurance","527000.0","2004-03-20 00:00","2010-02-21 00:00","Customer","","","","","","","","4442.0",""
"9366728829","Meeveo","David Nachmann","2022-08-12 11:50","(786) 6767509","Miami","United States","Online Media","898000.0","2009-10-21 00:00","2022-08-12 12:23","Opportunity","33124","","","43607 Division Lane","","","","",""
"9366681766","Agimba","David Nachmann","2022-08-12 11:50","(775) 7975600","Reno","United States","Consumer Goods","668000.0","2022-08-12 12:18","2003-04-20 00:00","Customer","89519","","","20 Bartillon Junction","","","","",""
"9366398379","Devshare","David Nachmann","2022-08-12 11:50","(765) 3764847","Lafayette","United States","Retail","793000.0","2001-12-21 00:00","2022-08-12 12:23","Customer","47905","4255.0","2001-12-21 00:00","7532 5th Way","","America/Los_Angeles","","1176.0",""
"9366705588","Eamia","David Nachmann","2022-08-12 11:50","(727) 4294753","Saint Petersburg","United States","Wholesale","","2008-07-21 00:00","2004-03-21 00:00","Customer","33710","304.0","2008-07-21 00:00","3667 Bay Avenue","","","","",""
"9366721589","Oyoloo","David Nachmann","2022-08-12 11:50","(719) 7174209","Colorado Springs","United States","Investment Banking","959000.0","2012-10-20 00:00","2022-08-12 12:23","Customer","80910","2008.0","2012-10-20 00:00","5743 Green Terrace","","","","",""
"9366681759","Zoombox","David Nachmann","2022-08-12 11:50","(719) 3225629","","","Investment Banking","763000.0","2022-08-12 12:18","2002-05-21 00:00","Customer","","","","","","","34000","6450.0",""
"9366717843","Yakijo","David Nachmann","2022-08-12 11:50","(716) 9022717","","United States","Entertainment","639000.0","","2001-02-21 00:00","Opportunity","","","","","","","","653.0",""
"9366395146","Abatz","David Nachmann","2022-08-12 11:50","(716) 5328717","Buffalo","United States","Machinery","130000.0","2012-06-20 00:00","2009-06-20 00:00","Customer","14210","3071.0","2012-06-20 00:00","35599 Corscot Lane","","","","",""
"9366721586","Voolia","David Nachmann","2022-08-12 11:50","(714) 2195787","","","Computer Hardware","","2010-03-21 00:00","2005-08-20 00:00","Customer","W6 9JG","","","","","","","",""
"9366693803","Youspan","David Nachmann","2022-08-12 11:50","(713) 7648403","Houston","United States","Wireless","948000.0","2009-10-21 00:00","2008-09-21 00:00","Customer","77288","3029.0","2009-10-21 00:00","3 Haas Place","","","","",""
"9366372207","Yodel","David Nachmann","2022-08-12 11:50","(713) 4708438","","United Kingdom","Wholesale","10000000","2008-04-20 00:00","2001-09-21 00:00","Customer","","1609.0","2008-04-20 00:00","","","","","",""
"9366686474","Vitz","David Nachmann","2022-08-12 11:50","(704) 6473384","","Virgin Islands, British","Renewables & Environment","","","","","","","","","","","","",""
"9366686498","Tagtune","David Nachmann","2022-08-12 11:50","(702) 5888312","","","Logistics and Supply Chain","139000.0","","","","","","","","","","","",""
"9366395166","Mybuzz","David Nachmann","2022-08-12 11:50","(651) 1598718","Saint Paul","United States","Wireless","561000.0","","","","55146","","","982 Holy Cross Parkway","","America/Los_Angeles","251000","",""
"9366709668","Browsedrive","David Nachmann","2022-08-12 11:50","(626) 2862711","Alhambra","United States","Accounting","326000.0","2002-12-21 00:00","2022-08-12 12:23","Customer","91841","","","010 Coolidge Center","","","","",""
"9366367590","Skinte","David Nachmann","2022-08-12 11:50","(623) 8169991","Scottsdale","United States","Online Media","634000.0","2004-02-20 00:00","2003-09-20 00:00","Customer","85260","3185.0","2004-02-20 00:00","849 Service Park","","America/Los_Angeles","","721.0",""
"9366398369","Gigashots","David Nachmann","2022-08-12 11:50","(617) 1550321","Boston","United States","Warehousing","","","2009-09-20 00:00","Opportunity","2298","","","211 Pine View Center","","","","4591.0",""
"9366363952","Nlounge","David Nachmann","2022-08-12 11:50","(615) 2032688","Nashville","United States","Computer Software","845000.0","2022-08-12 12:18","2007-10-20 00:00","Customer","37228","","","916 Leroy Street","","America/Los_Angeles","","",""
"9366398368","Ntag","David Nachmann","2022-08-12 11:50","(614) 8277903","Columbus","United States","Information Technology and Services","330000.0","","2022-08-12 12:23","Opportunity","43226","","","078 Kipling Place","","America/Chicago","26.3M","",""
"9366406004","Skaboo","David Nachmann","2022-08-12 11:50","(602) 9452628","Mesa","United States","Medical Devices","","2006-06-21 00:00","2007-11-21 00:00","Opportunity","85205","","","1 Scofield Court","","","","2980.0",""
"9366406017","Babbleset","David Nachmann","2022-08-12 11:50","(602) 8089731","","","Computer Software","372000.0","","","","","","","","","","","",""
"9366395148","Minyx","David Nachmann","2022-08-12 11:50","(601) 8166387","","","Consumer Electronics","977000.0","2011-09-21 00:00","2009-03-20 00:00","Customer","","","","","","","","",""
"9366677569","Cogibox","David Nachmann","2022-08-12 11:50","(586) 1511139","","","Media Production","","2022-08-12 12:18","2012-12-21 00:00","Customer","","","","","","","25000","",""
"9366406008","Rhynyx","David Nachmann","2022-08-12 11:50","(585) 4710298","","","Entertainment","544000.0","2012-09-21 00:00","2011-05-21 00:00","Customer","","1989.0","2012-09-21 00:00","","","","","",""
"9366686480","Trilith","David Nachmann","2022-08-12 11:50","(574) 7547759","South Bend","United States","Information Services","","2006-02-20 00:00","2008-01-21 00:00","Customer","46634","","","18 Welch Way","","America/New_York","","",""
"9366714674","Twinte","David Nachmann","2022-08-12 11:50","(571) 6203135","","","Machinery","730000.0","2007-10-20 00:00","2022-08-12 12:23","Opportunity","","","","","","","","",""
"9366401894","Youbridge","David Nachmann","2022-08-12 11:50","(520) 7266298","","France","Entertainment","492000.0","2009-02-21 00:00","2008-09-21 00:00","Opportunity","75002","","","","","","","",""
"9366401875","Roomm","David Nachmann","2022-08-12 11:50","(518) 9148098","Albany","United States","Computer Hardware","","","2001-12-21 00:00","Opportunity","12262","","","26543 Village Green Hill","","","","",""
"9366410133","Yakidoo","David Nachmann","2022-08-12 11:50","(518) 7171695","Albany","United States","Consumer Goods","10000000","2012-05-21 00:00","2009-03-20 00:00","Customer","12247","3136.0","2012-05-21 00:00","544 Lien Crossing","","America/Toronto","","",""
"9366681749","Demivee","David Nachmann","2022-08-12 11:50","(513) 4371403","Cincinnati","United States","Wholesale","","2010-10-20 00:00","2022-08-12 12:23","Opportunity","45296","","","00 Almo Hill","","","","",""
"9366697597","JumpXS","David Nachmann","2022-08-12 11:50","(513) 4067043","Cincinnati","United States","Accounting","408000.0","2010-09-21 00:00","2003-08-21 00:00","Customer","45223","","","3 Cordelia Plaza","","","","",""
"9366714691","Quaxo","David Nachmann","2022-08-12 11:50","(512) 8783284","Austin","United States","Computer & Network Security","360000.0","2008-06-20 00:00","2022-08-12 12:23","Customer","78789","1632.0","2008-06-20 00:00","50267 Roth Street","","","","",""
"9366410127","Flashpoint","David Nachmann","2022-08-12 11:50","(505) 2830013","Albuquerque","United States","Entertainment","1000000.0","2001-03-22 00:00","2007-05-20 00:00","Customer","87105","1067.0","2001-03-22 00:00","6857 Chive Hill","","America/New_York","","5606.0",""
"9366406005","Gabvine","David Nachmann","2022-08-12 11:50","(502) 8890437","","","Consumer Goods","247000.0","","2022-08-12 12:23","Opportunity","","","","","","","","",""
"9366689833","Chatterbridge","David Nachmann","2022-08-12 11:50","(480) 8665083","Mesa","United States","Renewables & Environment","309000.0","2011-11-20 00:00","2022-08-12 12:23","Opportunity","85205","","","55078 Bultman Place","","","","",""
"9366372188","Voonte","David Nachmann","2022-08-12 11:50","(480) 8119992","","","Information Technology and Services","","2004-06-21 00:00","2010-10-20 00:00","Opportunity","","","","","","","","2928.0",""
"9366375430","Myworks","David Nachmann","2022-08-12 11:50","(480) 6645379","Scottsdale","United States","Computer Hardware","350000.0","","2012-10-21 00:00","Opportunity","85271","","","64 Forest Run Center","","Europe/Paris","","",""
"9366693763","Eazzy","David Nachmann","2022-08-12 11:50","(419) 7638005","Toledo","United States","Retail","849000.0","","2002-01-21 00:00","Opportunity","43656","","","5 Oriole Lane","","America/Toronto","","",""
"9366717838","Omba","David Nachmann","2022-08-12 11:50","(414) 3061657","Bergamo","Italy","Media Production","935000.0","","2003-04-20 00:00","Opportunity","","","","","","Europe/Rome","","",""
"9366372185","Realcube","David Nachmann","2022-08-12 11:50","(412) 8079216","Wien","Austria","Consumer Goods","","2004-06-20 00:00","2003-12-20 00:00","Customer","1070","","","1 Siebensterngasse","","Europe/Vienna","","",""
"9366367586","Feedfish","David Nachmann","2022-08-12 11:50","(410) 1365421","Baltimore","United States","Warehousing","930000.0","2022-08-12 12:18","2008-06-21 00:00","Customer","21265","","","1910 Golden Leaf Street","","","","",""
